Tall Grass,600,900
Tall Grass,640,900
Tall Grass,680,900
Tall Grass,720,900
Tall Grass,760,900
Tall Grass,800,900
Tall Grass,840,900
Tall Grass,880,900
Tall Grass,920,900
Tall Grass,960,900
Tall Grass,1000,900
Tall Grass,1040,900
Tall Grass,1080,900
Tall Grass,1120,900
Tall Grass,1160,900
Tall Grass,1200,900
Tall Grass,1240,900
Tall Grass,1280,900
Tall Grass,600,940
Tall Grass,640,940
Tall Grass,680,940
Tall Grass,720,940
Tall Grass,760,940
Tall Grass,800,940
Tall Grass,840,940
Tall Grass,880,940
Tall Grass,920,940
Tall Grass,960,940
Tall Grass,1000,940
Tall Grass,1040,940
Tall Grass,1080,940
Tall Grass,1120,940
Tall Grass,1160,940
Tall Grass,1200,940
Tall Grass,1240,940
Tall Grass,1280,940
Tall Grass,600,980
Tall Grass,640,980
Tall Grass,680,980
Tall Grass,720,980
Tall Grass,760,980
Tall Grass,800,980
Tall Grass,840,980
Tall Grass,880,980
Tall Grass,920,980
Tall Grass,960,980
Tall Grass,1000,980
Tall Grass,1040,980
Tall Grass,1080,980
Tall Grass,1120,980
Tall Grass,1160,980
Tall Grass,1200,980
Tall Grass,1240,980
Tall Grass,1280,980
Tall Grass,600,1020
Tall Grass,640,1020
Tall Grass,680,1020
Tall Grass,720,1020
Tall Grass,760,1020
Tall Grass,800,1020
Tall Grass,840,1020
Tall Grass,880,1020
Tall Grass,920,1020
Tall Grass,960,1020
Tall Grass,1000,1020
Tall Grass,1040,1020
Tall Grass,1080,1020
Tall Grass,1120,1020
Tall Grass,1160,1020
Tall Grass,1200,1020
Tall Grass,1240,1020
Tall Grass,1280,1020
Restrict Tile,560,500
Restrict Tile,600,500
Restrict Tile,640,500
Restrict Tile,680,500
Restrict Tile,720,500
Restrict Tile,760,500
Restrict Tile,800,500
Restrict Tile,840,500
Restrict Tile,880,500
Restrict Tile,880,540
Restrict Tile,880,580
Restrict Tile,880,620
Restrict Tile,920,620
Restrict Tile,960,620
Restrict Tile,1000,620
Restrict Tile,1000,660
Restrict Tile,1040,660
Restrict Tile,1080,660
Restrict Tile,1160,660
Restrict Tile,1200,660
Restrict Tile,1240,660
Restrict Tile,1280,660
Restrict Tile,1280,700
Restrict Tile,1280,740
Restrict Tile,1280,780
Restrict Tile,1280,820
Restrict Tile,1320,820
Restrict Tile,1320,860
Restrict Tile,1320,900
Restrict Tile,1320,940
Restrict Tile,1320,980
Restrict Tile,1320,1020
Restrict Tile,1320,1060
Restrict Tile,560,1060
Restrict Tile,600,1060
Restrict Tile,640,1060
Restrict Tile,680,1060
Restrict Tile,720,1060
Restrict Tile,760,1060
Restrict Tile,800,1060
Restrict Tile,840,1060
Restrict Tile,880,1060
Restrict Tile,920,1060
Restrict Tile,960,1060
Restrict Tile,1000,1060
Restrict Tile,1040,1060
Restrict Tile,1080,1060
Restrict Tile,1120,1060
Restrict Tile,1160,1060
Restrict Tile,1200,1060
Restrict Tile,1240,1060
Restrict Tile,1280,1060
Restrict Tile,560,860
Restrict Tile,560,900
Restrict Tile,560,940
Restrict Tile,560,980
Restrict Tile,560,1020
Restrict Tile,600,500
Restrict Tile,600,540
Restrict Tile,600,580
Restrict Tile,600,620
Restrict Tile,600,660
Restrict Tile,600,700
Restrict Tile,600,740
Restrict Tile,600,780
Restrict Tile,600,820
Restrict Tile,1120,620
Restrict Tile,600,860
Transport Tile,640,780,Lake,808,406
Transport Tile,1240,780,Cave,40,320
Transport Tile,1120,660,Store,280,400
